id,lng,lat,topic,sentiment,temperature_avg
1.08E+18,-74.01,40.71,Weather Extremes,-0.37,1.44
1.08E+18,-113.13,53.58,Weather Extremes,-0.47,-4.02
1.08E+18,-87.65,41.85,Weather Extremes,-0.21,6.62
1.08E+18,-122.68,45.52,Weather Extremes,-0.37,-2.63
1.08E+18,-75.16,39.95,Weather Extremes,-0.37,2.08
1.08E+18,-84.32,46.52,Weather Extremes,-0.13,6.21
1.08E+18,-2.03,52.69,Weather Extremes,-0.31,5.25
1.08E+18,-79.42,43.7,Weather Extremes,-0.63,8.55
1.08E+18,-84.36,34.02,Weather Extremes,-0.02,2.78
1.08E+18,-84.39,33.75,Impact of Resource Overconsumption,-0.2,2.57
1.08E+18,-112.07,33.45,Weather Extremes,-0.13,0.45
1.08E+18,-3.68,50.43,Seriousness of Gas Emissions,0.44,4.25
1.08E+18,-112.07,33.45,Weather Extremes,-0.37,0.45
1.08E+18,-122.66,45.64,Weather Extremes,-0.37,-2.63
1.08E+18,-95.83,44.39,Weather Extremes,-0.6,3.7
1.08E+18,2.17,48.82,Weather Extremes,-0.02,4.04
1.08E+18,-80.98,43.37,Weather Extremes,-0.37,8.49
1.08E+18,-117.16,32.72,Seriousness of Gas Emissions,-0.41,-1.44
1.08E+18,-97.33,32.75,Weather Extremes,0.58,4.82
1.08E+18,-78.85,43.9,Seriousness of Gas Emissions,-0.49,8.5
1.08E+18,-117.16,32.72,Seriousness of Gas Emissions,-0.24,-1.44
1.08E+18,-97.74,30.27,Weather Extremes,0.53,3.51
1.08E+18,-118.24,34.05,Weather Extremes,0.45,-3.13
1.08E+18,-70.65,-33.44,Seriousness of Gas Emissions,-0.25,-1.82
1.08E+18,-96.67,40.8,Weather Extremes,0.73,4.51
1.08E+18,-104.62,50.45,Weather Extremes,0.53,1.31
1.08E+18,-118.55,34.28,Weather Extremes,-0.12,-3.13
1.08E+18,-74.57,40.72,Seriousness of Gas Emissions,-0.24,1.44
1.08E+18,-86.57,35.16,Impact of Resource Overconsumption,0.68,3.52
1.08E+18,174.78,-41.29,Seriousness of Gas Emissions,0.02,-1.94
1.08E+18,-118.24,34.05,Impact of Resource Overconsumption,-0.67,-3.13
1.08E+18,-118.33,34.18,Weather Extremes,0.11,-3.13
1.08E+18,-78.88,42.89,Seriousness of Gas Emissions,-0.38,8.5
1.08E+18,-87.65,41.85,Weather Extremes,-0.46,6.62
1.08E+18,-85.5,44.25,Weather Extremes,-0.6,7.56
1.08E+18,-72.73,41.65,Weather Extremes,0.62,0.81
1.08E+18,-81.39,41.44,Weather Extremes,-0.37,7.79
1.08E+18,-6.25,53.33,Weather Extremes,0.65,4.95
1.08E+18,11.25,43.78,Weather Extremes,0.55,3.13
1.08E+18,-65.43,44.39,Seriousness of Gas Emissions,-0.54,1.85
1.08E+18,-118.24,34.05,Impact of Resource Overconsumption,0.37,-3.13
1.08E+18,-96.8,32.78,Weather Extremes,-0.37,4.33
1.08E+18,-86.79,33.45,Weather Extremes,0.75,2.48
1.08E+18,-82.5,28.75,Weather Extremes,-0.68,0.36
1.08E+18,-118.76,36.7,Weather Extremes,-0.2,-1.84
1.08E+18,-1.92,53.6,Weather Extremes,0.53,4.98
1.08E+18,-75.69,45.42,Impact of Resource Overconsumption,0.82,7.12
1.08E+18,-118.76,36.7,Weather Extremes,0.55,-1.84
1.08E+18,-123.11,49.26,Weather Extremes,0.04,-1.23
1.08E+18,-86.17,40.33,Weather Extremes,0.2,6.26
1.08E+18,-96.8,32.78,Weather Extremes,-0.37,4.33
1.08E+18,-71.11,42.38,Weather Extremes,-0.38,2.21
1.08E+18,-87.53,33.24,Impact of Resource Overconsumption,0.82,2.62
1.08E+18,-74.4,40.08,Weather Extremes,0.67,1.44
1.08E+18,-122.42,37.77,Seriousness of Gas Emissions,0.18,-3.58
1.08E+18,-82.59,36.1,Weather Extremes,0.53,3.86
1.08E+18,-95.37,29.76,Seriousness of Gas Emissions,0.6,2.46
1.08E+18,2.35,48.85,Weather Extremes,-0.29,4.04
1.08E+18,-74.08,40.73,Seriousness of Gas Emissions,-0.37,1.44
1.08E+18,-71.38,41.88,Weather Extremes,0.73,0.76
1.08E+18,-7.61,42.2,Weather Extremes,-0.35,-0.95
1.08E+18,-84.33,46.52,Weather Extremes,-0.13,6.21
1.08E+18,-71.21,42.34,Weather Extremes,-0.37,2.21
1.08E+18,-110.93,32.22,Impact of Resource Overconsumption,-0.63,1.36
1.08E+18,-98.18,26.19,Weather Extremes,-0.39,1.93
1.08E+18,-114.98,36.03,Weather Extremes,-0.85,1.2
1.08E+18,-82.45,27.1,Weather Extremes,-0.39,0.22
1.08E+18,-81.75,28.57,Weather Extremes,-0.37,0.5
1.08E+18,150.41,-33.63,Weather Extremes,0.53,-2.15
1.08E+18,-123.1,47.22,Seriousness of Gas Emissions,-0.59,-1.72
1.08E+18,-71.06,42.36,Impact of Resource Overconsumption,-0.55,2.21
1.08E+18,0.4,52.15,Impact of Resource Overconsumption,0.2,3.5
1.08E+18,-75.69,45.42,Seriousness of Gas Emissions,-0.33,7.12
1.08E+18,-84.68,43.62,Seriousness of Gas Emissions,-0.66,8.26
1.08E+18,-88.83,44.21,Weather Extremes,-0.37,5.6
1.08E+18,-74.01,40.71,Weather Extremes,0.13,1.44
1.08E+18,-77.04,38.9,Weather Extremes,-0.02,3.87
1.08E+18,-92.01,30.13,Seriousness of Gas Emissions,0.9,3.06
1.08E+18,-116.38,33.72,Seriousness of Gas Emissions,-0.29,-0.87
1.08E+18,-94.61,45.99,Weather Extremes,-0.37,3.77
1.08E+18,-86.53,39.17,Seriousness of Gas Emissions,-0.19,5.26
1.08E+18,-118.49,34.02,Weather Extremes,-0.39,-3.13
1.08E+18,-79.42,43.7,Weather Extremes,0.02,8.55
1.08E+18,-94.58,39.1,Weather Extremes,-0.61,4.59
1.08E+18,-83,39.96,Weather Extremes,0,6.75
1.08E+18,-88.7,34.26,Weather Extremes,-0.35,3.51
1.08E+18,-80.52,43.47,Weather Extremes,0.01,8.49
1.08E+18,-78.87,35.91,Weather Extremes,-0.58,3.69
1.08E+18,-9.58,30.42,Weather Extremes,-0.41,-0.27
1.08E+18,-74.01,40.71,Weather Extremes,-0.41,1.44
1.08E+18,-71.22,42.45,Impact of Resource Overconsumption,0.25,2.21
1.08E+18,-80.14,26.12,Impact of Resource Overconsumption,-0.78,0.57
1.08E+18,-79.38,43.65,Weather Extremes,0.72,8.55
1.08E+18,-77.05,38.8,Seriousness of Gas Emissions,-0.15,3.87
1.08E+18,-84.68,43.62,Seriousness of Gas Emissions,-0.23,8.26
1.08E+18,-81.69,41.51,Weather Extremes,-0.44,7.79
1.08E+18,-73.92,41.25,Seriousness of Gas Emissions,-0.23,1.63
1.08E+18,-104.82,38.83,Weather Extremes,0.71,2.54
1.08E+18,-112.07,33.45,Seriousness of Gas Emissions,-0.23,0.45
1.08E+18,135.63,-30.53,Impact of Resource Overconsumption,-0.72,-2.11
1.08E+18,-4.11,56.79,Seriousness of Gas Emissions,-0.23,4.96
1.08E+18,-78.49,37.12,Seriousness of Gas Emissions,-0.15,4.31
1.08E+18,-75.69,45.42,Weather Extremes,0.54,7.12
1.08E+18,-77.2,39.14,Weather Extremes,-0.66,3.62
1.08E+18,-75.14,38.77,Seriousness of Gas Emissions,0.52,2.6
1.08E+18,-2.36,51.38,Weather Extremes,-0.63,4.72
1.08E+18,-79.38,43.65,Weather Extremes,0.45,8.55
1.08E+18,-104.82,38.83,Seriousness of Gas Emissions,-0.24,2.54
1.08E+18,-87.91,43.04,Weather Extremes,-0.67,6.37
1.08E+18,-81.98,26.61,Weather Extremes,-0.39,0.41
1.08E+18,-71.45,43,Weather Extremes,-0.37,2.21
1.08E+18,-83.11,32.33,Weather Extremes,0.05,2.34
1.08E+18,-86.83,33.26,Weather Extremes,-0.46,2.48
1.08E+18,-82.36,36.3,Impact of Resource Overconsumption,0.15,3.86
1.08E+18,-75.06,39.8,Seriousness of Gas Emissions,-0.15,2.08
1.08E+18,-111.76,34.4,Weather Extremes,-0.7,0.74
1.08E+18,-87.44,46.56,Weather Extremes,0,5.17
1.08E+18,-99.21,26.93,Weather Extremes,-0.69,2.11
1.08E+18,-2.5,9.76,Seriousness of Gas Emissions,-0.4,1.08
1.08E+18,-74.01,40.71,Impact of Resource Overconsumption,-0.35,1.44
1.08E+18,-76.75,39,Impact of Resource Overconsumption,-0.16,2.74
1.08E+18,-119.71,36.73,Seriousness of Gas Emissions,-0.23,-3.13
1.08E+18,-76.45,41,Weather Extremes,0.49,5.49
1.08E+18,-116.78,34.69,Weather Extremes,0.07,-0.96
1.08E+18,-120.74,43.98,Weather Extremes,0.03,-4.29
1.08E+18,-82.05,26.93,Weather Extremes,-0.37,0.28
1.08E+18,-75.7,45.41,Weather Extremes,-0.4,7.12
1.08E+18,-72.9,41.4,Seriousness of Gas Emissions,0.17,0.81
1.08E+18,175.15,-40.86,Seriousness of Gas Emissions,0.31,-2.3
1.08E+18,-106.65,35.08,Weather Extremes,-0.24,2.31
1.08E+18,-77.46,37.55,Impact of Resource Overconsumption,-0.35,4.19
1.08E+18,-77.2,39.14,Seriousness of Gas Emissions,-0.24,3.62
1.08E+18,-86.01,34.01,Weather Extremes,-0.41,2.83
1.08E+18,-79.38,43.65,Seriousness of Gas Emissions,-0.15,8.55
1.08E+18,151.78,-32.93,Seriousness of Gas Emissions,-0.26,-1.99
1.08E+18,-71.06,42.36,Weather Extremes,0.53,2.21
1.08E+18,-76.93,38.89,Impact of Resource Overconsumption,-0.63,3.2
1.08E+18,-121.49,38.58,Weather Extremes,-0.61,-4.01
1.08E+18,-73.95,40.65,Weather Extremes,-0.03,0.77
1.08E+18,-118.14,34.15,Weather Extremes,0.03,-3.13
1.08E+18,-74.01,40.71,Weather Extremes,-0.54,1.44
1.08E+18,-96.79,46.88,Weather Extremes,-0.37,3.7
1.08E+18,-111.47,57.65,Impact of Resource Overconsumption,-0.57,-2.05
1.08E+18,-104.62,50.45,Weather Extremes,-0.37,1.31
1.08E+18,-82.69,40.23,Seriousness of Gas Emissions,-0.47,7.41
1.08E+18,106.82,-6.4,Seriousness of Gas Emissions,0.1,0.47
1.08E+18,-115.15,36.17,Impact of Resource Overconsumption,-0.79,0.92
1.08E+18,150.89,-34.42,Impact of Resource Overconsumption,0.47,-1.51
1.08E+18,-79.07,43.1,Seriousness of Gas Emissions,0.9,8.55
1.08E+18,-83.63,41.56,Weather Extremes,-0.4,7.85
1.08E+18,-123.36,48.43,Weather Extremes,0.49,-1.34
1.08E+18,-75.7,45.48,Seriousness of Gas Emissions,0.34,7.12
1.08E+18,-85.48,32.61,Seriousness of Gas Emissions,-0.82,2.31
1.08E+18,-64.8,46.09,Impact of Resource Overconsumption,0.32,2.7
1.08E+18,-122.67,45.63,Impact of Resource Overconsumption,-0.35,-2.63
